family,true_eig_err
rbf,0.0034221585567927
rbf,0.0034221585567931
rbf,0.0034221585567928
rbf,0.0034221585567929
rbf,0.0034221573612441
rbf,0.0034221573612442
rbf,0.0034221573612444
rbf,0.0034221573612443
rbf,0.0034221573612438
rbf,0.0034221573612442
rbf,0.0034221573612441
rbf,0.0034221573612442
rbf,0.0034221573612441
rbf,0.0034221573612441
hermite,0.0132846070379727
hermite,0.0132848398268381
hermite,0.4568982740411133
linear,0.0079908821203243
poly,0.002638258300937
poly,0.0026118949657208
poly,0.0031808552285726
poly,0.0027979126439937
rbf,0.0026640404804913
rbf,0.0018697712053522
rbf,0.0019005853184717
rbf,0.002678888143812
rbf,0.0026798136256931
rbf,0.0053279149918503
rbf,0.0022393251752858
rbf,0.0025475159254255
rbf,0.0025628675845151
rbf,0.0028169768053806
rbf,0.0028268317999617
rbf,0.002827224924896
rbf,0.0024607556974345
rbf,0.0024714917307762
rbf,0.0026081213047203
rbf,0.0026580804394125
rbf,0.0027497036455554
rbf,0.0027577353775695
rbf,0.0028251938345606
rbf,0.00296141222815
rbf,0.0029602489009945
rbf,0.0029630770626529
rbf,0.0028166378796005
rbf,0.002984591010804
rbf,0.0029864199901684
rbf,0.0030036499391472
rbf,0.003006568648237
rbf,0.0030060956528253
rbf,0.0030158875067215
rbf,0.0030096741044638
rbf,0.0030966878078524
rbf,0.0030955780902557
rbf,0.0030954980491086
rbf,0.0030979913872192
rbf,0.0030981362304286
rbf,0.0030943113786757
rbf,0.0030936874624369
rbf,0.0030935922356398
rbf,0.0030959943671255
rbf,0.003095253860137
rbf,0.0031295607239326
rbf,0.0031296166220432
rbf,0.0031296620978459
rbf,0.0031299963999317
rbf,0.0031300345579041
rbf,0.0031306266805179
rbf,0.0031313189216943
rbf,0.0031313912240088
rbf,0.0031314283045072
rbf,0.0031316839922203
hermite,0.0132848398268381
hermite,0.4568982740411133
hermite,0.0132846070379727
linear,0.0079908821203243
poly,0.0031808552285726
poly,0.002638258300937
poly,0.0026118949657208
poly,0.0027979126439937
rbf,0.0053279149918503
rbf,0.0026640404804913
rbf,0.002678888143812
rbf,0.0026798136256931
rbf,0.0019005853184717
rbf,0.0018697712053522
rbf,0.0022393251752858
rbf,0.0025475159254255
rbf,0.0025628675845151
rbf,0.0028169768053806
rbf,0.0028268317999617
rbf,0.002827224924896
rbf,0.0024607556974345
rbf,0.0024714917307762
rbf,0.0026081213047203
rbf,0.0026580804394125
rbf,0.0027497036455554
rbf,0.0027577353775695
rbf,0.0029630770626529
rbf,0.0029602489009945
rbf,0.00296141222815
rbf,0.002984591010804
rbf,0.0029864199901684
rbf,0.0028251938345606
rbf,0.0030036499391472
rbf,0.003006568648237
rbf,0.0030060956528253
rbf,0.0028166378796005
rbf,0.0030158875067215
rbf,0.0030096741044638
rbf,0.0030966878078524
rbf,0.0030955780902557
rbf,0.0030954980491086
rbf,0.0030979913872192
rbf,0.0030981362304286
rbf,0.0030943113786757
rbf,0.0030936874624369
rbf,0.0030935922356398
rbf,0.0030959943671255
rbf,0.003095253860137
rbf,0.0031295607239326
rbf,0.0031296166220432
rbf,0.0031296620978459
rbf,0.0031299963999317
rbf,0.0031300345579041
rbf,0.0031306266805179
rbf,0.0031314283045072
rbf,0.0031313189216943
rbf,0.0031313912240088
rbf,0.0031316839922203
