family,system,kind,kernel,method,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,admissible,constraint_violations,score_v1,rank_v1,score_unified,rank_unified,score_unified_pooled,rank_unified_pooled
hermite,linear,A=rev,hermite(ugly),Reduced Rank,0.0,0.0,0.0,1.2287311524909198e-15,1.2570504787696957,0.1345638718597101,4.2,2.7,2.8987729436511804,0.859686532451311,1.5683790901529695e+21,False,spurious_ref,-0.6434250035695028,12,0.8528062910916365,3,13.22053952704765,58
linear,linear,A=rev,linear,Reduced Rank,7.938600674478542e-16,4.680840952552316e-16,0.4025614331704927,2.000827282388903e-15,0.6197078376171479,0.0335356998607787,2.8,2.7,0.0207687540816514,0.0,0.04611304127438744,True,,1.82552675452818,4,0.0,1,-3.130125857862758,6
poly,linear,A=rev,poly(p=1),Reduced Rank,3.3468263147469656e-15,5.571911743610614e-15,1.3403695214197866,2.417683266714971e-15,0.281587123530667,0.0470613999006019,1.4,2.1,0.0212105661903309,8.253160420046424e-05,0.03278839783812793,True,,-5.459015256653958,2,-3.8576915160696683,1,-6.551702736735576,2
poly,linear,A=rev,poly(p=2),Reduced Rank,1.6672889955618395,0.3510884159574706,6.066448230483589,0.275250331669604,0.3397973860528764,0.024785854936623,0.0,3.3,0.0204346135113746,0.0,0.035049809244645944,True,,-1.3070508375287468,7,-0.5893918281127136,2,-5.848993404595015,4
poly,linear,A=rev,poly(p=3),Reduced Rank,1.8407978179656972,0.3771754147320698,3.5008746720301214,0.5365471980227655,0.4246731179569151,0.0511279166079889,0.0,2.4,0.0197389880371552,0.0,0.049402468751447284,True,,-1.1114706882360734,8,-0.005070724336355414,3,-6.378386243290619,3
poly,linear,A=rev,poly(p=4),Reduced Rank,4.2745918188891,3.607320960051569,4.81392795459188,0.845133065176482,0.4832253878662386,0.027067190736323,0.0,1.5,0.014007190178209,0.0,0.06480355814869997,True,,1.5546952675799224,11,4.452154068518734,4,-6.695062864988042,1
rbf,linear,A=rev,rbf(gamma=0.06490512002023081),Reduced Rank,447.9278845282609,,110.4245703574032,4.056415008711242,0.2940481065160709,,0.0,5.0,0.0245675654976901,0.0,0.0,True,,-1.4627497208810982,70,-3.609868722109215,1,-2.478965347598809,7
rbf,linear,A=rev,rbf(gamma=0.08038944954728941),Reduced Rank,465.93861849260094,,119.71542308202734,3.892051721467386,0.3217855869989704,,0.0,5.0,0.0282074633899148,0.0,0.0,True,,-1.3971009025769028,76,-3.5245498355756486,2,-2.235293729485493,11
rbf,linear,A=rev,rbf(gamma=0.0613059543409328),Reduced Rank,480.54025594012353,,109.65657875842814,4.382229150142892,0.3079585964078716,,0.0,5.0,0.020974574750186,0.0,0.0,True,,-1.0882281657202206,94,-3.2541954975684373,3,-2.4094308909007487,8
rbf,linear,A=rev,rbf(gamma=0.06435796207307426),Reduced Rank,777.8841008991865,,104.29313126710731,7.458632140470796,0.3334352883163014,,0.0,5.0,0.0181573727189399,0.0,0.0,True,,-0.716744580658936,110,-2.988534067173193,4,-2.3198055826710333,9
rbf,linear,A=rev,rbf(gamma=0.12981024004046163),Reduced Rank,3250.3032055698013,,128.8957484181096,25.21652766254577,0.3238758424577912,,0.0,5.0,0.0250825221194405,0.0,0.0,True,,-0.8999296702775774,104,-2.924988574846088,5,-1.9944404150815673,16
rbf,linear,A=rev,rbf(gamma=0.07227671456991984),Reduced Rank,605.7989332056081,,132.02201749464913,4.5886204793845184,0.3065747354154164,,0.0,5.0,0.0228328021651575,0.0,0.0,True,,-0.967867484778042,100,-2.884174721773085,6,-2.1619603216522694,14
rbf,linear,A=rev,rbf(gamma=0.05947300227420471),Reduced Rank,398.0410189244043,,113.73353243988932,3.4997683654535017,0.3364656043558277,,0.0,5.0,0.0191282898379531,0.0,0.0,True,,-0.6737043242754771,114,-2.84675911606276,7,-2.217846527459957,13
rbf,linear,A=rev,rbf(gamma=0.08086751581281795),Reduced Rank,873.5086696277026,,126.704108115577,6.894083251277891,0.3613536691824055,,0.0,5.0,0.0242584708887965,0.0,0.0,True,,-0.676016649991143,113,-2.7926703023149733,8,-1.9289865106922022,17
rbf,linear,A=rev,rbf(gamma=0.0629504849572889),Reduced Rank,377.5765422157976,,117.15902565537284,3.222769565585596,0.3233404980302244,,0.0,5.0,0.0171745648694631,0.0,0.0,True,,-0.5957014107658218,120,-2.68592351327479,9,-2.245364203065975,10
rbf,linear,A=rev,rbf(gamma=0.05383991195644794),Reduced Rank,1035.2958595582388,,119.51721113896924,8.662316077258891,0.3163933211554598,,0.0,5.0,0.0159029803757665,0.0,0.0,True,,-0.4958990558106402,123,-2.539013491669013,10,-2.2229297929000156,12
rbf,linear,A=rev,rbf(gamma=0.16077889909457882),Reduced Rank,3722.747346964056,,141.9017683556549,26.234679032565424,0.3949536331688816,,0.0,5.0,0.0278879321422708,0.0,0.0,True,,-0.3574178891789148,127,-2.418619256900797,11,-1.4701308818810648,24
rbf,linear,A=rev,rbf(gamma=0.1226119086818656),Reduced Rank,3541.357716245533,,139.26932974853457,25.42812349739765,0.3276457773729024,,0.0,5.0,0.0213566666889487,0.0,0.0,True,,-0.4586702480947066,124,-2.3506447246953153,12,-1.84508718641616,21
