family,system,kind,kind_n,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,agg_horizon_instab,agg_horizon_sens,sc,vamp2,admissible_v2_fam,violations_v2_fam,rank_v2_fam,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,admissible_v3_fam,violations_v3_fam,rank_v3_fam,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,score_noSSL_fam,score_noSSL_pooled,score_fam,score_pooled
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.30175088789592514),Reduced Rank,12.102176903171165,39.90352230031124,0.0949222939628104,0.3032859308030752,,,,4.0,3.224724522854494e-06,0.0,-1.2719193645333495,3.000000000000232,True,,14,True,,57,True,,17,True,,60,,0.0064618329373181,-4.0723057961153,-0.05644095695744178,-2.7923874361571617,-0.18850160174139763
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.3227987609662522),Reduced Rank,123.84871898126582,29.40696854608188,0.0751070575784572,4.211543219328779,,,,2.0,0.0002416253677075,0.0,-1.446137776460079,3.0000000000003992,True,,22,True,,16,True,,15,True,,16,,0.0098702619531596,-3.209105279465369,-1.8595655145109018,-3.0915161180078687,-2.070305936001541
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.15087544394796257),Reduced Rank,1.77913791067881,48.62793965191285,0.0864565537207468,0.0365867425890174,,,,4.0,5.355449753663422e-07,0.0,-1.1964768432470476,3.000000000000244,True,,6,True,,47,True,,12,True,,47,,0.0074039380206839,-5.112460480712131,-0.42139410560909335,-3.4466865115865315,-0.5193837204523154
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.0831438206065411),Reduced Rank,14.336246726324934,46.674324817926326,0.1094852820526655,0.307154881880986,,,,4.0,0.0,0.0,-1.4187614578422256,3.000000000000349,True,,21,True,,63,True,,16,True,,64,,0.0198506064432676,-2.342141715182435,0.141656747940059,-2.0087129610843766,-0.056720097209330834
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.321800977869651),Reduced Rank,13.236116258808613,22.063564861926693,0.1162220834929557,0.5999083258593949,,,,4.0,0.0001970554958279,0.0,-1.2788832777863304,3.000000000000169,True,,18,True,,60,True,,20,True,,63,,0.0221256686709855,-2.655258048756988,0.033415094572945114,-1.3254352234288242,-0.10179056303531106
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.7509994400159213),Reduced Rank,20.35751065137283,44.95562702102578,0.115429561803458,0.4528356515159183,,,,4.0,3.397745826883014e-05,0.0,-1.3728485722269976,3.000000000000275,True,,24,True,,65,True,,21,True,,66,,0.0044953215300143,-2.7166732012690873,0.2051948260524794,-2.0351598006656615,0.02755296263217006
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.7423910485931123),Reduced Rank,5.2516812178192325,48.99652497777575,0.1075926642137563,0.1071847691280419,,,,4.0,4.718340568754531e-05,0.0,-1.3714820331249409,3.000000000000379,True,,16,True,,56,True,,13,True,,57,,0.0257625719505469,-2.198185225639742,-0.02925391608168193,-1.6538643509366004,-0.2062786289367563
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.8450709372052825),Reduced Rank,15.19244627327372,43.81330661935266,0.1311460355642631,0.3467541586227391,,,,4.0,0.0,0.0,-1.387091949162689,3.000000000000327,True,,23,True,,66,True,,18,True,,69,,0.0206331057471915,-2.0700891230602823,0.2983463303004006,-1.5368137486320441,0.11427193369108249
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.6035017757918503),Reduced Rank,44.64375065044893,46.40108543847163,0.1075817132533266,0.9621272913894884,,,,4.0,9.511485348445705e-06,0.0,-1.3475715262962222,3.000000000000372,True,,26,True,,68,True,,26,True,,73,,0.0050889647275876,-2.3107877694516086,0.2971633666879344,-1.6296295798352733,0.13093701502453445
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=4.284597145966449),Reduced Rank,17.24102989416144,40.12407436960464,0.1303760045288081,0.4296929004603309,,,,5.0,0.0001206349452793,0.0,-1.6302859420199318,3.0000000000008087,True,,25,True,,91,True,,7,True,,88,,0.0151363074475492,-0.29919596713924973,1.2993233129746584,-1.7334279383236821,1.0054186817601753
