system,kind,family,kernel,trial,sc,vamp2
ou,all,rbf,rbf(gamma=0.14481400536123448),2,-1.1279469778126885,3.000000000000192
ou,all,rbf,rbf(gamma=0.951594511575932),2,-1.4126737107653136,3.000000000000301
ou,all,rbf,rbf(gamma=0.20850420312163653),2,-1.170448335221081,3.0000000000002265
ou,all,rbf,rbf(gamma=0.2751442350787957),2,-1.208559899853332,2.999999999999995
ou,all,rbf,rbf(gamma=0.6267482618973175),2,-1.3425915673452349,3.0000000000003797
ou,all,rbf,rbf(gamma=0.18742167222567147),2,-1.1571057771666018,2.999999999999961
ou,all,rbf,rbf(gamma=0.16090278870991295),2,-1.1393223815619025,2.999999999999859
ou,all,rbf,rbf(gamma=0.28962801072246896),2,-1.216115162140739,3.000000000000143
ou,all,rbf,rbf(gamma=0.37484334445134293),2,-1.256156649533498,3.0000000000001465
ou,all,rbf,rbf(gamma=0.41700840624327307),2,-1.2735525817888422,3.0000000000002762
ou,all,rbf,rbf(gamma=0.5502884701575914),2,-1.3203047446574772,3.0000000000003144
ou,all,rbf,rbf(gamma=0.3218055774198259),2,-1.2320782283593759,3.0000000000001457
ou,all,rbf,rbf(gamma=1.903189023151864),2,-1.5088965725495975,3.0000000000002793
ou,all,rbf,rbf(gamma=1.253496523794635),2,-1.4551483105335943,3.000000000000333
ou,all,rbf,rbf(gamma=0.15567608695466637),2,-1.1356773539007432,2.9999999999999654
ou,all,rbf,rbf(gamma=0.6436111548396518),2,-1.3471396634707165,3.000000000000322
ou,all,rbf,rbf(gamma=0.31135217390933273),2,-1.2270119972236126,3.0000000000001843
ou,all,rbf,rbf(gamma=0.7496866889026859),2,-1.3731377296748102,3.000000000000181
ou,all,rbf,rbf(gamma=1.1005769403151828),2,-1.4356371101297256,3.0000000000001332
ou,all,rbf,rbf(gamma=0.5792560214449379),2,-1.3290860435660559,3.000000000000355
ou,all,rbf,rbf(gamma=0.8340168124865461),2,-1.3910359780145987,3.000000000000299
ou,all,rbf,rbf(gamma=0.6227043478186655),2,-1.341482273133611,3.0000000000002323
ou,all,rbf,rbf(gamma=2.50699304758927),2,-1.5348894571087062,3.0000000000002323
ou,all,rbf,rbf(gamma=1.2872223096793036),2,-1.4589914998455582,3.0000000000001794
ou,all,rbf,rbf(gamma=0.13093199232465336),2,-1.1177505105116117,2.999999999999825
ou,all,rbf,rbf(gamma=1.4993733778053717),2,-1.4800431524794977,3.0000000000002514
