system,kind,family,kernel,sc,vamp2,kind_n,kind_u,agg_bias_mean,agg_dist_mean,mean_spurious_residual_count,score_unified,kind_t,true_eig_err
duffing,omega=0.5,rbf,rbf(gamma=0.7081432905392367),-1.0890010946822548,3.0000000000004596,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7149617086950467),-1.0897881222007413,3.0000000000004583,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7233822873163714),-1.090758368821401,3.000000000000419,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7333457676213548),-1.0919039544093867,3.0000000000004055,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7423910485931123),-1.0929416832606644,3.0000000000004,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7457491634872105),-1.093326394331161,3.000000000000379,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7494005398305926),-1.0937443632425827,3.0000000000004703,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7509994400159213),-1.0939272765484729,3.0000000000003872,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7544242740920327),-1.094318848409132,3.0000000000004365,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7580923746980914),-1.0947378902822609,3.000000000000277,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.7825821306794024),-1.0975265131817311,3.000000000000421,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8168403183514585),-1.1014011334922829,3.0000000000004436,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8345853768904926),-1.1033961287437888,3.0000000000004494,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8450709372052825),-1.104571151954398,3.0000000000004743,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8565526563367442),-1.1058545633040524,3.000000000000518,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8668618794733781),-1.1070040355709498,3.0000000000005707,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.8672263057426219),-1.1070446191399466,3.0000000000005485,omega=0.5,omega=0.5,0.2984845352046525,10.713339207899852,2.0,-2.511519972884073,,
