system,kind,family,kernel,sc,vamp2
duffing,omega=0.5,rbf,rbf(gamma=1.1319554646341132),-1.1356514505092405,3.0000000000003033
duffing,omega=0.5,rbf,rbf(gamma=1.1624811333852527),-1.1388409385734912,3.0000000000003326
duffing,omega=0.5,rbf,rbf(gamma=1.173884968681284),-1.1400268512406728,3.000000000000392
duffing,omega=0.5,rbf,rbf(gamma=1.1779519133409364),-1.1404490461796544,3.0000000000004796
duffing,omega=0.5,rbf,rbf(gamma=1.2005106137423613),-1.1427838888289028,3.0000000000003335
duffing,omega=0.5,rbf,rbf(gamma=1.2069353473323814),-1.1434466884228787,3.0000000000003126
duffing,omega=0.5,rbf,rbf(gamma=1.2070035515837005),-1.1434537194939176,3.000000000000378
duffing,omega=0.5,rbf,rbf(gamma=1.2100705344236693),-1.1437697786245822,3.000000000000474
duffing,omega=0.5,rbf,rbf(gamma=1.2102955344637036),-1.143792956780766,3.00000000000027
duffing,omega=0.5,rbf,rbf(gamma=1.2575479605827247),-1.148634760523792,3.0000000000003317
duffing,omega=0.5,rbf,rbf(gamma=1.2763347038101887),-1.150545566936582,3.0000000000003646
duffing,omega=0.5,rbf,rbf(gamma=1.2844715104382538),-1.151370672790706,3.00000000000032
duffing,omega=0.5,rbf,rbf(gamma=1.2888104811430485),-1.1518100485035596,3.000000000000411
duffing,omega=0.5,rbf,rbf(gamma=1.320553372359053),-1.1550114838632115,3.0000000000005413
duffing,omega=0.5,rbf,rbf(gamma=1.3227987609662522),-1.1552370842388375,3.0000000000004903
duffing,omega=0.5,rbf,rbf(gamma=1.3231803340739758),-1.1552754106973473,3.000000000000423
duffing,omega=0.5,rbf,rbf(gamma=1.379440517839879),-1.1608908262198145,3.000000000000506
duffing,omega=0.5,rbf,rbf(gamma=1.3911442849072981),-1.1620501823645266,3.0000000000004525
duffing,omega=0.5,rbf,rbf(gamma=1.4162865810784735),-1.1645305609516576,3.0000000000005804
duffing,omega=0.5,rbf,rbf(gamma=1.4299234173900934),-1.16587010266036,3.000000000000533
duffing,omega=0.5,rbf,rbf(gamma=1.4467645746327429),-1.167518821293447,3.0000000000005524
duffing,omega=0.5,rbf,rbf(gamma=1.4666915352427097),-1.1694617036132555,3.0000000000009153
duffing,omega=0.5,rbf,rbf(gamma=1.4847820971862247),-1.171218130344715,3.0000000000006763
duffing,omega=0.5,rbf,rbf(gamma=1.491498326974421),-1.1718684276550035,3.0000000000004725
duffing,omega=0.5,rbf,rbf(gamma=1.4988010796611853),-1.1725744203359139,3.0000000000005222
duffing,omega=0.5,rbf,rbf(gamma=1.5019988800318427),-1.172883208849707,3.0000000000005245
duffing,omega=0.5,rbf,rbf(gamma=1.5088485481840654),-1.1735438984628719,3.000000000000449
duffing,omega=0.5,rbf,rbf(gamma=1.5161847493961829),-1.1742504097029567,3.0000000000004827
duffing,omega=0.5,rbf,rbf(gamma=1.5623630701105855),-1.1786714580828956,3.0000000000003717
duffing,omega=0.5,rbf,rbf(gamma=1.5651642613588048),-1.1789381963341952,3.000000000000352
duffing,omega=0.5,rbf,rbf(gamma=1.6036112109695864),-1.1825826820100278,3.0000000000003824
duffing,omega=0.5,rbf,rbf(gamma=1.633680636702917),-1.1854116774059884,3.000000000000393
duffing,omega=0.5,rbf,rbf(gamma=1.6691707537809852),-1.188726769562809,3.0000000000005067
duffing,omega=0.5,rbf,rbf(gamma=1.690141874410565),-1.1906735968386,3.0000000000005014
duffing,omega=0.5,rbf,rbf(gamma=1.6905692603043003),-1.1907131799938513,3.000000000000572
duffing,omega=0.5,rbf,rbf(gamma=1.7131053126734883),-1.192795176753757,3.000000000000476
duffing,omega=0.5,rbf,rbf(gamma=1.7337237589467562),-1.19469107209252,3.0000000000005884
duffing,omega=0.5,rbf,rbf(gamma=1.7344526114852439),-1.1947579353694664,3.000000000000522
