kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(ugly),omega=1.0,Reduced Rank,4,,2,3.7818981931400844,5
hermite(good),omega=1.0,Reduced Rank,5,,4,2.5204893536713158,5
hermite(bad),omega=1.0,Reduced Rank,5,,2,0.0005115061990847991,5
hermite(ugly),omega=1.0,Reduced Rank,5,,0,5.078901390973716,5
hermite(good),omega=1.0,Reduced Rank,6,,2,1.3218519306345704,5
hermite(bad),omega=1.0,Reduced Rank,6,,1,0.0,5
hermite(ugly),omega=1.0,Reduced Rank,6,,3,4.989149165924702,5
hermite(good),omega=1.0,Reduced Rank,7,,5,1.5906618147693234,5
hermite(bad),omega=1.0,Reduced Rank,7,,2,0.00011405832091315737,5
hermite(ugly),omega=1.0,Reduced Rank,7,,0,4.794918458792383,5
hermite(good),omega=1.0,Reduced Rank,8,,3,1.0484103609750306,5
hermite(bad),omega=1.0,Reduced Rank,8,,3,0.00014286421337361688,5
hermite(ugly),omega=1.0,Reduced Rank,8,,3,5.225897324632934,5
hermite(good),omega=1.0,Reduced Rank,9,,5,1.0534584995916112,5
hermite(bad),omega=1.0,Reduced Rank,9,,4,0.00016053002731497568,5
hermite(ugly),omega=1.0,Reduced Rank,9,,3,5.01705218554144,5
hermite(good),omega=1.2,Principal Components (kDMD),0,,4,6.0249530173361876e-05,5
hermite(bad),omega=1.2,Principal Components (kDMD),0,,3,3.548458142621502e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),0,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),1,,3,6.2023090838803085e-06,5
hermite(bad),omega=1.2,Principal Components (kDMD),1,,3,1.0531295123628048e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),1,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),2,,3,2.0922653030774896e-05,5
hermite(bad),omega=1.2,Principal Components (kDMD),2,,4,3.900016627644831e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),2,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),3,,4,0.00011027383784156797,5
hermite(bad),omega=1.2,Principal Components (kDMD),3,,4,9.393901796483917e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),3,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),4,,4,3.81410377879865e-05,5
hermite(bad),omega=1.2,Principal Components (kDMD),4,,2,3.239257027753961e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),4,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),5,,4,0.0001383738662021905,5
hermite(bad),omega=1.2,Principal Components (kDMD),5,,4,9.038841890296467e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),5,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),6,,4,0.00019513191920716988,5
hermite(bad),omega=1.2,Principal Components (kDMD),6,,4,9.976554118751313e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),6,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),7,,1,5.168320538340154e-05,5
hermite(bad),omega=1.2,Principal Components (kDMD),7,,1,4.056407950647767e-06,5
hermite(ugly),omega=1.2,Principal Components (kDMD),7,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),8,,3,2.4484966120286167e-05,5
hermite(bad),omega=1.2,Principal Components (kDMD),8,,3,2.47852297263762e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),8,,1,,1
hermite(good),omega=1.2,Principal Components (kDMD),9,,3,3.214013137964322e-05,5
hermite(bad),omega=1.2,Principal Components (kDMD),9,,3,3.260173571328906e-05,5
hermite(ugly),omega=1.2,Principal Components (kDMD),9,,1,,1
hermite(good),omega=1.2,Reduced Rank,0,,5,0.6670980898147327,5
hermite(bad),omega=1.2,Reduced Rank,0,,2,0.0,5
hermite(ugly),omega=1.2,Reduced Rank,0,,2,5.108810127061565,5
hermite(good),omega=1.2,Reduced Rank,1,,3,1.0661792566090027,5
