kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=0.05199613938182173),omega=1.0,1.0,Principal Components (kDMD),2,,5,0.012497855038012151,5
rbf(gamma=0.10399227876364346),omega=1.0,1.0,Principal Components (kDMD),2,,5,0.012241677565582698,5
rbf(gamma=0.20798455752728692),omega=1.0,1.0,Principal Components (kDMD),2,,5,0.012263985573269798,5
rbf(gamma=0.41596911505457385),omega=1.0,1.0,Principal Components (kDMD),2,,5,0.012946005157875917,5
rbf(gamma=0.8319382301091477),omega=1.0,1.0,Principal Components (kDMD),2,,5,0.014620122170004524,5
rbf(gamma=0.03900692880861736),omega=1.0,1.0,Principal Components (kDMD),3,,5,0.008320826832735273,5
rbf(gamma=0.07801385761723471),omega=1.0,1.0,Principal Components (kDMD),3,,5,0.007351586295983759,5
rbf(gamma=0.15602771523446943),omega=1.0,1.0,Principal Components (kDMD),3,,5,0.0060554826074492585,5
rbf(gamma=0.31205543046893885),omega=1.0,1.0,Principal Components (kDMD),3,,5,0.00476452314569864,5
rbf(gamma=0.6241108609378777),omega=1.0,1.0,Principal Components (kDMD),3,,5,0.0038406937769179805,5
rbf(gamma=0.04422918706350977),omega=1.0,1.0,Principal Components (kDMD),4,,5,0.010138467689757125,5
rbf(gamma=0.08845837412701954),omega=1.0,1.0,Principal Components (kDMD),4,,5,0.009837698352569424,5
rbf(gamma=0.17691674825403908),omega=1.0,1.0,Principal Components (kDMD),4,,5,0.009953017281600585,5
rbf(gamma=0.35383349650807816),omega=1.0,1.0,Principal Components (kDMD),4,,5,0.011615894772432078,5
rbf(gamma=0.7076669930161563),omega=1.0,1.0,Principal Components (kDMD),4,,5,0.011048916215520288,5
rbf(gamma=0.04934002200761012),omega=1.0,1.0,Principal Components (kDMD),5,,5,0.010804873992496966,5
rbf(gamma=0.09868004401522024),omega=1.0,1.0,Principal Components (kDMD),5,,5,0.010452736540716767,5
rbf(gamma=0.19736008803044047),omega=1.0,1.0,Principal Components (kDMD),5,,5,0.010226829671975968,5
rbf(gamma=0.39472017606088095),omega=1.0,1.0,Principal Components (kDMD),5,,5,0.010322053375083518,5
rbf(gamma=0.7894403521217619),omega=1.0,1.0,Principal Components (kDMD),5,,5,0.011081719359193665,5
