kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(good),r=4.0,Reduced Rank,1,5,9.809274112295722e-11,1197.7250346850196,8.189921583191577e-14,1.000045351908455,0.889738293777056,0.0,0.0,0.889738293777056
hermite(bad),r=4.0,Reduced Rank,1,1,0.012938554983247282,421.6615761720642,3.068469055375239e-05,0.10837131507544988,0.967013323096146,1.0000013958684384,0.0,0.967013323096146
hermite(bad),r=4.0,Reduced Rank,1,2,0.019255378361592128,627.5239545877516,3.068469055375239e-05,1.0007705230937092,0.967013323096146,-0.03298807277229247,0.0,0.967013323096146
hermite(bad),r=4.0,Reduced Rank,1,3,0.017338360889038947,565.049233873361,3.068469055375239e-05,0.9993285551259603,0.967013323096146,0.013072593069199799,0.0,0.967013323096146
hermite(bad),r=4.0,Reduced Rank,1,4,0.04952192911646848,1613.896970207917,3.068469055375239e-05,0.9999520445177534,0.967013323096146,-0.0022403831948535195,0.0,0.967013323096146
hermite(ugly),r=4.0,Reduced Rank,1,1,0.0,0.0,3.0017643014158552e-16,1.6377954228404317,3.1856811692002287,3.194104920291866,0.0,3.1856811692002287
hermite(ugly),r=4.0,Reduced Rank,1,2,0.0,0.0,3.0017643014158552e-16,0.9997015083389746,3.1856811692002287,0.008423751091637618,0.0,3.1856811692002287
hermite(ugly),r=4.0,Reduced Rank,1,3,,,3.0017643014158552e-16,,3.1856811692002287,0.0002580207333965831,0.00029284297631978974,3.1856811692002287
hermite(ugly),r=4.0,Reduced Rank,1,4,,,3.0017643014158552e-16,,3.1856811692002287,0.0002580207333965831,-0.00029284297631978974,3.1856811692002287
hermite(ugly),r=4.0,Reduced Rank,1,5,0.0,0.0,3.0017643014158552e-16,0.9998000475777853,3.1856811692002287,-5.813152663643493e-17,0.0,3.1856811692002287
hermite(good),r=4.0,Reduced Rank,2,1,1.2506652496521939e-11,144.52404889543038,8.65368261691247e-14,0.08158632143201457,0.9611376810766463,1.0000042956898412,0.0,0.9611376810766463
hermite(good),r=4.0,Reduced Rank,2,2,2.4027012407008446e-10,2776.50723635864,8.65368261691247e-14,1.0010809751101486,0.9611376810766463,0.03886661461319484,0.0,0.9611376810766463
hermite(good),r=4.0,Reduced Rank,2,3,3.4491526998765056e-10,3985.7628856593333,8.65368261691247e-14,0.9997670657576125,0.9611376810766463,-0.0023388955936291516,0.0,0.9611376810766463
