kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
poly(p=3),2.0,Principal Components (kDMD),9,,4,0.0004014996501084944,5
poly(p=3),3.0,Principal Components (kDMD),0,,2,0.00032883004674544303,5
poly(p=3),3.0,Principal Components (kDMD),1,,4,0.0007254105788905285,5
poly(p=3),3.0,Principal Components (kDMD),2,,4,0.0006038356695197145,5
poly(p=3),3.0,Principal Components (kDMD),3,,4,0.0008511752576692011,5
poly(p=3),3.0,Principal Components (kDMD),4,,4,0.0005767466832521384,5
poly(p=3),3.0,Principal Components (kDMD),5,,4,0.0009064812071752915,5
poly(p=3),3.0,Principal Components (kDMD),6,,4,0.0005447865885161995,5
poly(p=3),3.0,Principal Components (kDMD),7,,4,0.001065982664570586,5
poly(p=3),3.0,Principal Components (kDMD),8,,4,0.00036580032132249585,5
poly(p=3),3.0,Principal Components (kDMD),9,,4,0.0004305866560191385,5
poly(p=3),0.5,Reduced Rank,0,,4,0.00022886725411730424,5
poly(p=3),0.5,Reduced Rank,1,,4,0.0001271799523373529,5
poly(p=3),0.5,Reduced Rank,2,,4,0.0002293269464848091,5
poly(p=3),0.5,Reduced Rank,3,,4,0.00025913120233611586,5
poly(p=3),0.5,Reduced Rank,4,,4,0.000195724855712065,5
poly(p=3),0.5,Reduced Rank,5,,4,0.001508046309543487,5
poly(p=3),0.5,Reduced Rank,6,,4,0.00011448333238595065,5
poly(p=3),0.5,Reduced Rank,7,,4,0.0002566766869275261,5
poly(p=3),0.5,Reduced Rank,8,,4,0.00022396685800951666,5
poly(p=3),0.5,Reduced Rank,9,,4,0.00023634276573314406,5
poly(p=3),0.8,Reduced Rank,0,,4,0.00013841620555177236,5
poly(p=3),0.8,Reduced Rank,1,,4,0.0,5
poly(p=3),0.8,Reduced Rank,2,,4,0.00012750425200180882,5
poly(p=3),0.8,Reduced Rank,3,,4,0.0,5
poly(p=3),0.8,Reduced Rank,4,,4,0.0002767613396901236,5
poly(p=3),0.8,Reduced Rank,5,,4,0.0015016603670248152,5
poly(p=3),0.8,Reduced Rank,6,,2,0.00023883143035841048,5
poly(p=3),0.8,Reduced Rank,7,,4,6.104998485190194e-06,5
poly(p=3),0.8,Reduced Rank,8,,4,0.00019326643872896732,5
poly(p=3),0.8,Reduced Rank,9,,4,0.0002925249977264732,5
poly(p=3),1.0,Reduced Rank,0,,4,8.96771672940222e-05,5
poly(p=3),1.0,Reduced Rank,1,,4,0.0002014833984752551,5
poly(p=3),1.0,Reduced Rank,2,,4,0.0,5
poly(p=3),1.0,Reduced Rank,3,,4,0.0,5
poly(p=3),1.0,Reduced Rank,4,,4,0.0,5
poly(p=3),1.0,Reduced Rank,5,,4,0.0,5
poly(p=3),1.0,Reduced Rank,6,,4,0.00013017584708274743,5
poly(p=3),1.0,Reduced Rank,7,,4,0.0,5
poly(p=3),1.0,Reduced Rank,8,,4,0.000133134555196035,5
