kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=0.8537),1.707,Reduced Rank,3.0,1.0,0.6193620768486614,,43.676122535442715,0.014180793552496688,0.31813893373725877,,3.0,4.2,0.04677249021989718,0.0009126120800644416,5.0
rbf(gamma=0.8749),1.75,Principal Components (kDMD),3.0,1.0,0.0009079391068767181,,10.149618516145637,8.945549090661902e-05,0.35435904428559195,,3.2,4.4,0.052773892869389646,0.004121827241355676,5.0
rbf(gamma=0.8749),1.75,Reduced Rank,3.0,1.0,0.9274660261872171,,49.45246756315768,0.018754696618580535,0.33963397002705703,,3.0,4.2,0.04928013034703645,0.0006495079127645377,5.0
rbf(gamma=0.9668),1.934,Principal Components (kDMD),3.0,1.0,0.0012469275780042264,,10.356344870696532,0.00012040228416228497,0.34458263809117073,,3.2,4.6,0.051916424010114,0.005415540908408405,5.0
rbf(gamma=0.9668),1.934,Reduced Rank,3.0,1.0,1.1594236451846114,,44.44734892600715,0.026085327318728032,0.32595249365864154,,3.0,4.2,0.04760753092780625,0.0004092358558832177,5.0
rbf(gamma=1.507),1.507,Principal Components (kDMD),3.0,1.0,0.008173914969916499,,9.450386102715862,0.0008649292082963118,0.3567682413765035,,3.0,4.4,0.04266109950393593,0.0038230389411578903,5.0
rbf(gamma=1.507),1.507,Reduced Rank,3.0,1.0,7.071343110674045,,41.27604096907572,0.17131834702780582,0.32714006876082374,,3.0,4.0,0.039794940349456076,0.000615638196371572,5.0
rbf(gamma=1.583),1.583,Principal Components (kDMD),3.0,1.0,0.007486388400451616,,9.302253781524197,0.0008047929648319005,0.3770222611751435,,3.0,4.4,0.04588468938772132,0.00396801995859047,5.0
rbf(gamma=1.583),1.583,Reduced Rank,3.0,1.0,2.4206618815240857,,39.33348318590618,0.061542016761725486,0.3417233480114202,,3.0,4.0,0.04045574743094225,0.001756687015116524,5.0
rbf(gamma=1.59),1.59,Principal Components (kDMD),3.0,1.0,0.007716355172141708,,9.33835903254985,0.0008263073999666885,0.35409130756579854,,3.0,4.4,0.040930883345472145,0.003495017837001824,5.0
rbf(gamma=1.59),1.59,Reduced Rank,3.0,1.0,2.000155817141814,,40.75648715031399,0.04907576577355747,0.3213141940032783,,3.0,4.2,0.036934837487608375,0.0009021552983676031,5.0
rbf(gamma=1.596),1.596,Principal Components (kDMD),3.0,1.0,0.008062601462200475,,9.327257531194538,0.0008644128711183877,0.3698501046283815,,3.0,4.4,0.04684209985718109,0.004147144508263025,5.0
rbf(gamma=1.596),1.596,Reduced Rank,3.0,1.0,2.606017558424061,,44.912972131529784,0.05802371641743534,0.33225813742894295,,3.0,4.2,0.04193479696533835,0.001649940514268489,5.0
rbf(gamma=1.633),1.633,Principal Components (kDMD),3.0,1.0,0.00851202080662923,,9.326803878546578,0.0009126406985150075,0.3760904048570052,,3.0,4.4,0.05069996151890497,0.004303243944217356,5.0
rbf(gamma=1.633),1.633,Reduced Rank,3.0,1.0,5.006645304809183,,42.83066908901591,0.11689393164519013,0.34650117532392655,,3.0,4.2,0.045453575456505524,0.0014581052358916278,5.0
rbf(gamma=1.685),1.685,Principal Components (kDMD),3.0,1.0,0.009747628505343147,,9.34449934983391,0.0010431407976411707,0.37556961784286436,,3.0,4.4,0.043875041650395886,0.004002981034362787,5.0
rbf(gamma=1.685),1.685,Reduced Rank,3.0,1.0,2.8382602643529427,,37.84405531064856,0.07499884040055067,0.34161959144114523,,3.0,4.0,0.03980830484061837,0.0009506507097505917,5.0
rbf(gamma=1.686),1.686,Principal Components (kDMD),3.0,1.0,0.009565605994455304,,9.405425641928517,0.0010170306330223608,0.3762411269010802,,3.0,4.4,0.050048732535855865,0.004644464517689822,5.0
rbf(gamma=1.686),1.686,Reduced Rank,3.0,1.0,3.1726281106791996,,50.074746440144594,0.06335784674359778,0.3478738227939434,,3.0,4.2,0.04526589503050711,0.0010037624423999162,5.0
rbf(gamma=1.707),1.707,Principal Components (kDMD),3.0,1.0,0.010597773358464893,,9.3460102954254,0.0011339355536182317,0.36310075918550294,,3.2,4.6,0.051259816559447266,0.004422242214764471,5.0
rbf(gamma=1.707),1.707,Reduced Rank,3.0,1.0,7.603510175924727,,42.248397840706616,0.17997156258073987,0.32879269804477584,,3.0,4.2,0.04677249021989718,0.0009126120800644416,5.0
rbf(gamma=1.75),1.75,Principal Components (kDMD),3.0,1.0,0.010707812155524687,,9.45459197377593,0.0011325514824145554,0.38093142210107167,,3.2,4.4,0.052773892869389646,0.004121827241355676,5.0
rbf(gamma=1.75),1.75,Reduced Rank,3.0,1.0,4.168892027248599,,36.484825647815846,0.1142637234309538,0.34828102794532656,,3.0,4.2,0.04928013034703645,0.0006495079127645377,5.0
rbf(gamma=1.934),1.934,Principal Components (kDMD),3.0,1.0,0.013763923635429344,,9.653893487666881,0.0014257380872301048,0.377136431638626,,3.2,4.6,0.051916424010114,0.005415540908408405,5.0
rbf(gamma=1.934),1.934,Reduced Rank,3.0,1.0,2.3835557952682116,,39.25296685065476,0.060722946225616393,0.33951107105506617,,3.0,4.2,0.04760753092780625,0.0004092358558832177,5.0
rbf(gamma=3.013),1.507,Principal Components (kDMD),3.0,1.0,0.06107536053496268,,9.261311931809653,0.0065946769728366765,0.3979958172913007,,3.0,4.4,0.04266109950393593,0.0038230389411578903,5.0
rbf(gamma=3.013),1.507,Reduced Rank,3.0,1.0,13.476125654271705,,38.54601041756668,0.3496114256257814,0.3394289816861288,,3.0,4.0,0.039794940349456076,0.000615638196371572,5.0
rbf(gamma=3.167),1.583,Principal Components (kDMD),3.0,1.0,0.058766525702313756,,9.244267161585183,0.006357077816456857,0.41997989905991295,,3.0,4.4,0.04588468938772132,0.00396801995859047,5.0
rbf(gamma=3.167),1.583,Reduced Rank,3.0,1.0,13.445095625579624,,40.96300953724534,0.32822528855832145,0.3510240640725699,,3.0,4.0,0.04045574743094225,0.001756687015116524,5.0
