kernel,kind,method,bias_gap_corr
rbf(gamma=2.258466595825082),damping=0.5,Principal Components (kDMD),
rbf(gamma=2.258466595825082),damping=0.5,Reduced Rank,
rbf(gamma=2.2750839390640882),damping=0.1,Principal Components (kDMD),
rbf(gamma=2.2750839390640882),damping=0.1,Reduced Rank,
rbf(gamma=2.332539167655831),damping=0.0,Principal Components (kDMD),
rbf(gamma=2.332539167655831),damping=0.0,Reduced Rank,
rbf(gamma=2.3758195021036137),damping=0.0,Principal Components (kDMD),
rbf(gamma=2.3758195021036137),damping=0.0,Reduced Rank,
rbf(gamma=2.384145628161649),damping=0.1,Principal Components (kDMD),
rbf(gamma=2.384145628161649),damping=0.1,Reduced Rank,
rbf(gamma=2.404468258162183),damping=1.0,Principal Components (kDMD),
rbf(gamma=2.404468258162183),damping=1.0,Reduced Rank,
rbf(gamma=2.447720447621712),damping=0.5,Principal Components (kDMD),
rbf(gamma=2.447720447621712),damping=0.5,Reduced Rank,
rbf(gamma=2.4484950955387124),damping=0.3,Principal Components (kDMD),
rbf(gamma=2.4484950955387124),damping=0.3,Reduced Rank,
rbf(gamma=2.5807735681396338),damping=0.3,Principal Components (kDMD),
rbf(gamma=2.5807735681396338),damping=0.3,Reduced Rank,
rbf(gamma=2.597085452675595),damping=0.3,Principal Components (kDMD),
rbf(gamma=2.597085452675595),damping=0.3,Reduced Rank,
rbf(gamma=2.6078034672205983),damping=0.5,Principal Components (kDMD),
rbf(gamma=2.6078034672205983),damping=0.5,Reduced Rank,
rbf(gamma=2.6492825486525056),damping=0.3,Principal Components (kDMD),
rbf(gamma=2.6492825486525056),damping=0.3,Reduced Rank,
rbf(gamma=2.7512765907360457),damping=0.1,Principal Components (kDMD),
rbf(gamma=2.7512765907360457),damping=0.1,Reduced Rank,
rbf(gamma=2.855561198226759),damping=0.1,Principal Components (kDMD),
rbf(gamma=2.855561198226759),damping=0.1,Reduced Rank,
rbf(gamma=2.8964298312568943),damping=0.1,Principal Components (kDMD),
rbf(gamma=2.8964298312568943),damping=0.1,Reduced Rank,
rbf(gamma=2.905317783329365),damping=0.3,Principal Components (kDMD),
rbf(gamma=2.905317783329365),damping=0.3,Reduced Rank,
rbf(gamma=2.956205933008021),damping=1.0,Principal Components (kDMD),
rbf(gamma=2.956205933008021),damping=1.0,Reduced Rank,
rbf(gamma=20.58628114789985),damping=1.5,Principal Components (kDMD),
rbf(gamma=20.58628114789985),damping=1.5,Reduced Rank,
rbf(gamma=20.64618854511707),damping=0.3,Principal Components (kDMD),
rbf(gamma=20.64618854511707),damping=0.3,Reduced Rank,
rbf(gamma=20.77668362140476),damping=0.3,Principal Components (kDMD),
rbf(gamma=20.77668362140476),damping=0.3,Reduced Rank,
rbf(gamma=204.25230056927745),damping=1.0,Principal Components (kDMD),
rbf(gamma=204.25230056927745),damping=1.0,Reduced Rank,
rbf(gamma=2078.934658254807),damping=1.5,Principal Components (kDMD),
rbf(gamma=2078.934658254807),damping=1.5,Reduced Rank,
rbf(gamma=21.194260389220045),damping=0.3,Principal Components (kDMD),
rbf(gamma=21.194260389220045),damping=0.3,Reduced Rank,
rbf(gamma=218.07519120197833),damping=1.5,Principal Components (kDMD),
rbf(gamma=218.07519120197833),damping=1.5,Reduced Rank,
rbf(gamma=22.010212725888366),damping=0.1,Principal Components (kDMD),
rbf(gamma=22.010212725888366),damping=0.1,Reduced Rank,
rbf(gamma=22.84448958581407),damping=0.1,Principal Components (kDMD),
rbf(gamma=22.84448958581407),damping=0.1,Reduced Rank,
rbf(gamma=23.171438650055155),damping=0.1,Principal Components (kDMD),
rbf(gamma=23.171438650055155),damping=0.1,Reduced Rank,
rbf(gamma=23.24254226663492),damping=0.3,Principal Components (kDMD),
rbf(gamma=23.24254226663492),damping=0.3,Reduced Rank,
rbf(gamma=23.649647464064167),damping=1.0,Principal Components (kDMD),
rbf(gamma=23.649647464064167),damping=1.0,Reduced Rank,
rbf(gamma=234.24596152318648),damping=1.0,Principal Components (kDMD),
rbf(gamma=234.24596152318648),damping=1.0,Reduced Rank,
rbf(gamma=24.73563527682092),damping=0.5,Principal Components (kDMD),
rbf(gamma=24.73563527682092),damping=0.5,Reduced Rank,
rbf(gamma=24.923702282271776),damping=0.5,Principal Components (kDMD),
rbf(gamma=24.923702282271776),damping=0.5,Reduced Rank,
rbf(gamma=25.109854911629746),damping=1.0,Principal Components (kDMD),
rbf(gamma=25.109854911629746),damping=1.0,Reduced Rank,
rbf(gamma=25.367989782813773),damping=1.5,Principal Components (kDMD),
rbf(gamma=25.367989782813773),damping=1.5,Reduced Rank,
rbf(gamma=25.580208273340414),damping=0.3,Principal Components (kDMD),
rbf(gamma=25.580208273340414),damping=0.3,Reduced Rank,
rbf(gamma=25.68163350367741),damping=1.5,Principal Components (kDMD),
rbf(gamma=25.68163350367741),damping=1.5,Reduced Rank,
rbf(gamma=25.77652747288313),damping=0.5,Principal Components (kDMD),
rbf(gamma=25.77652747288313),damping=0.5,Reduced Rank,
