kernel,kind,omega,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),9,1,0.0,9.898078309273437,0.0,0.6327954829195375,0.907097097236662,0.9070970990787195,0.0,0.907097097236662
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),9,2,,,0.0,,0.907097097236662,1.000908973703559e-09,1.546401315201059e-09,0.907097097236662
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),9,3,,,0.0,,0.907097097236662,1.000908973703559e-09,-1.546401315201059e-09,0.907097097236662
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),9,4,0.0,0.0,0.0,1.0001997862527179,0.907097097236662,9.94498358440184e-10,0.0,0.907097097236662
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),9,5,0.0,0.0,0.0,1.0000140203471874,0.907097097236662,-9.925535364588418e-10,0.0,0.907097097236662
hermite(good),omega=2.0,2.0,Reduced Rank,0,1,0.005208557133252389,6.71797518818038,0.0007753165183486143,0.006390042501723707,0.009239975024503688,1.0000000844684984,0.0,0.009239975024503688
hermite(good),omega=2.0,2.0,Reduced Rank,0,2,0.03961474469404307,51.09493188461986,0.0007753165183486143,0.43526916039251684,0.009239975024503688,0.9907601094439947,0.0,0.009239975024503688
hermite(good),omega=2.0,2.0,Reduced Rank,0,3,0.08344110643377059,107.62198980552614,0.0007753165183486143,0.5290140014060285,0.009239975024503688,0.9676536783756303,0.0,0.009239975024503688
hermite(good),omega=2.0,2.0,Reduced Rank,0,4,0.16252862847237426,209.62874468165876,0.0007753165183486143,0.6171869162175565,0.009239975024503688,0.9160829793892283,0.0,0.009239975024503688
hermite(good),omega=2.0,2.0,Reduced Rank,0,5,0.1860513745191899,239.9682840699307,0.0007753165183486143,0.6552769058205505,0.009239975024503688,0.8406640260713681,0.0,0.009239975024503688
hermite(bad),omega=2.0,2.0,Reduced Rank,0,1,2.448947913303042,8.677904537017943,0.2822049842627784,0.05932048038128308,0.010093177246062623,0.9999797099213357,0.0,0.010093177246062623
hermite(bad),omega=2.0,2.0,Reduced Rank,0,2,5.3782667183946185,19.05801462877985,0.2822049842627784,0.43470354844566067,0.010093177246062623,0.989886532675273,0.0,0.010093177246062623
hermite(bad),omega=2.0,2.0,Reduced Rank,0,3,6.310155101816174,22.360183036102583,0.2822049842627784,0.5201750754173488,0.010093177246062623,0.9679403339705794,0.0,0.010093177246062623
hermite(bad),omega=2.0,2.0,Reduced Rank,0,4,12.462374077947977,44.16071569573518,0.2822049842627784,0.6227570644811025,0.010093177246062623,0.9386497191126955,0.0,0.010093177246062623
hermite(bad),omega=2.0,2.0,Reduced Rank,0,5,11.854682840302205,42.007347500509,0.2822049842627784,0.6696395480301219,0.010093177246062623,0.8673755715564564,0.0,0.010093177246062623
hermite(ugly),omega=2.0,2.0,Reduced Rank,0,1,2.2825995360690994e-16,0.5485348178476473,4.16126645346892e-16,0.6708217334795791,0.9262691695591079,0.9262691795390594,0.0,0.9262691695591079
hermite(ugly),omega=2.0,2.0,Reduced Rank,0,2,,,4.16126645346892e-16,,0.9262691695591079,9.979951488916508e-09,0.0,0.9262691695591079
hermite(ugly),omega=2.0,2.0,Reduced Rank,0,3,,,4.16126645346892e-16,,0.9262691695591079,-1.2442931564107232e-09,0.0,0.9262691695591079
hermite(ugly),omega=2.0,2.0,Reduced Rank,0,4,,,4.16126645346892e-16,,0.9262691695591079,-7.899616456957734e-24,0.0,0.9262691695591079
hermite(ugly),omega=2.0,2.0,Reduced Rank,0,5,,,4.16126645346892e-16,,0.9262691695591079,-2.6366381934424864e-24,0.0,0.9262691695591079
hermite(good),omega=2.0,2.0,Reduced Rank,1,1,0.0032645509746283053,6.686670566133126,0.0004882177075034492,0.002256815141116415,0.008834323276631584,0.9999999998683612,0.0,0.008834323276631584
hermite(good),omega=2.0,2.0,Reduced Rank,1,2,0.03704962273457796,75.8875029831158,0.0004882177075034492,0.4419745869456902,0.008834323276631584,0.9911656765917296,0.0,0.008834323276631584
hermite(good),omega=2.0,2.0,Reduced Rank,1,3,0.06472372670751042,132.57144448627594,0.0004882177075034492,0.5230761963867445,0.008834323276631584,0.9672609541268189,0.0,0.008834323276631584
hermite(good),omega=2.0,2.0,Reduced Rank,1,4,0.06571956626067864,134.61118933342732,0.0004882177075034492,0.602143042238643,0.008834323276631584,0.9144532648485509,0.0,0.008834323276631584
hermite(good),omega=2.0,2.0,Reduced Rank,1,5,0.13877563479001453,284.2494908668058,0.0004882177075034492,0.6238198225394912,0.008834323276631584,0.8629929421971596,0.0,0.008834323276631584
hermite(bad),omega=2.0,2.0,Reduced Rank,1,1,3.3699700423574437,9.018871701411086,0.3736576097240834,0.057536373221298405,0.010017826551838804,0.9999882398378371,0.0,0.010017826551838804
hermite(bad),omega=2.0,2.0,Reduced Rank,1,2,9.182584378356282,24.574862492796264,0.3736576097240834,0.44515421869910027,0.010017826551838804,0.9899704132859983,0.0,0.010017826551838804
hermite(bad),omega=2.0,2.0,Reduced Rank,1,3,7.97971956892766,21.35569933881462,0.3736576097240834,0.5256240195172929,0.010017826551838804,0.9676889991218007,0.0,0.010017826551838804
hermite(bad),omega=2.0,2.0,Reduced Rank,1,4,6.402721763669295,17.135263934266447,0.3736576097240834,0.6356633995238768,0.010017826551838804,0.9315718367166601,0.0,0.010017826551838804
hermite(bad),omega=2.0,2.0,Reduced Rank,1,5,10.13350791517761,27.119768610253658,0.3736576097240834,0.6276169793917286,0.010017826551838804,0.8781214012122711,0.0,0.010017826551838804
hermite(ugly),omega=2.0,2.0,Reduced Rank,1,1,5.535658774081782e-16,1.2597871083979233,4.394122417335658e-16,0.6853849258362771,0.9254903433537736,0.9254903715811323,0.0,0.9254903433537736
hermite(ugly),omega=2.0,2.0,Reduced Rank,1,2,0.0,0.0,4.394122417335658e-16,1.0005283695265998,0.9254903433537736,-2.8227358744247968e-08,0.0,0.9254903433537736
hermite(ugly),omega=2.0,2.0,Reduced Rank,1,3,,,4.394122417335658e-16,,0.9254903433537736,2.350988701644575e-38,0.0,0.9254903433537736
hermite(good),omega=2.0,2.0,Reduced Rank,2,1,0.004690485110380972,6.784806333904136,0.0006913218859235968,0.009412940170370752,0.011500326050793097,0.9999999875374832,0.0,0.011500326050793097
hermite(good),omega=2.0,2.0,Reduced Rank,2,2,0.02650454891029729,38.3389408754036,0.0006913218859235968,0.36476725890339684,0.011500326050793097,0.9884996614866901,0.0,0.011500326050793097
hermite(good),omega=2.0,2.0,Reduced Rank,2,3,0.08130615859656316,117.60969853853132,0.0006913218859235968,0.5031277560070969,0.011500326050793097,0.9671630362321936,0.0,0.011500326050793097
hermite(good),omega=2.0,2.0,Reduced Rank,2,4,0.14651161905614854,211.92966986776497,0.0006913218859235968,0.6342420568162599,0.011500326050793097,0.9240466113880643,0.0,0.011500326050793097
hermite(good),omega=2.0,2.0,Reduced Rank,2,5,0.18260450716044171,264.13818349824777,0.0006913218859235968,0.7567969853124618,0.011500326050793097,0.8740761805727985,0.0,0.011500326050793097
hermite(bad),omega=2.0,2.0,Reduced Rank,2,1,3.4439175085570013,11.566067259209376,0.2977604600919827,0.0992155449940049,0.013013779509280177,0.9999196785920723,0.0,0.013013779509280177
hermite(bad),omega=2.0,2.0,Reduced Rank,2,2,6.322681921811123,21.23412195110778,0.2977604600919827,0.36892770536683894,0.013013779509280177,0.9869058990827921,0.0,0.013013779509280177
hermite(bad),omega=2.0,2.0,Reduced Rank,2,3,9.68257995574499,32.518017848151814,0.2977604600919827,0.5043542474521157,0.013013779509280177,0.9668116930603873,0.0,0.013013779509280177
hermite(bad),omega=2.0,2.0,Reduced Rank,2,4,7.825590334907668,26.281495979990844,0.2977604600919827,0.5881916013247602,0.013013779509280177,0.9349978488299587,0.0,0.013013779509280177
hermite(bad),omega=2.0,2.0,Reduced Rank,2,5,6.7783843148874166,22.76455481293074,0.2977604600919827,0.7349760290710015,0.013013779509280177,0.8904812721344366,0.0,0.013013779509280177
hermite(ugly),omega=2.0,2.0,Reduced Rank,2,1,,,5.385684355367605e-16,,0.9144211687966937,0.9144213134640718,0.0,0.9144211687966937
hermite(ugly),omega=2.0,2.0,Reduced Rank,2,2,0.0,0.0,5.385684355367605e-16,0.999950069683878,0.9144211687966937,1.4466737817473692e-07,0.0,0.9144211687966937
