kernel,kind,method,bias_gap_corr
rbf(gamma=1.2069353473323814),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.2069353473323814),omega=1.5,Reduced Rank,
rbf(gamma=1.2070035515837005),omega=0.8,Principle Components (kDMD),
rbf(gamma=1.2070035515837005),omega=0.8,Reduced Rank,
rbf(gamma=1.2100705344236693),omega=2.0,Principle Components (kDMD),
rbf(gamma=1.2100705344236693),omega=2.0,Reduced Rank,
rbf(gamma=1.2102955344637036),omega=1.0,Principle Components (kDMD),
rbf(gamma=1.2102955344637036),omega=1.0,Reduced Rank,
rbf(gamma=1.2575479605827247),omega=2.0,Principle Components (kDMD),
rbf(gamma=1.2575479605827247),omega=2.0,Reduced Rank,
rbf(gamma=1.2763347038101887),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.2763347038101887),omega=1.5,Reduced Rank,
rbf(gamma=1.2844715104382538),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.2844715104382538),omega=1.5,Reduced Rank,
rbf(gamma=1.2888104811430485),omega=3.0,Principle Components (kDMD),
rbf(gamma=1.2888104811430485),omega=3.0,Reduced Rank,
rbf(gamma=1.320553372359053),omega=2.0,Principle Components (kDMD),
rbf(gamma=1.320553372359053),omega=2.0,Reduced Rank,
rbf(gamma=1.3227987609662522),omega=0.8,Principle Components (kDMD),
rbf(gamma=1.3227987609662522),omega=0.8,Reduced Rank,
rbf(gamma=1.3231803340739758),omega=2.0,Principle Components (kDMD),
rbf(gamma=1.3231803340739758),omega=2.0,Reduced Rank,
rbf(gamma=1.379440517839879),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.379440517839879),omega=1.5,Reduced Rank,
rbf(gamma=1.3911442849072981),omega=1.2,Principle Components (kDMD),
rbf(gamma=1.3911442849072981),omega=1.2,Reduced Rank,
rbf(gamma=1.4162865810784735),omega=2.0,Principle Components (kDMD),
rbf(gamma=1.4162865810784735),omega=2.0,Reduced Rank,
rbf(gamma=1.4299234173900934),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.4299234173900934),omega=1.5,Reduced Rank,
rbf(gamma=1.4467645746327429),omega=0.8,Principle Components (kDMD),
rbf(gamma=1.4467645746327429),omega=0.8,Reduced Rank,
rbf(gamma=1.4666915352427097),omega=1.0,Principle Components (kDMD),
rbf(gamma=1.4666915352427097),omega=1.0,Reduced Rank,
rbf(gamma=1.4847820971862247),omega=0.8,Principle Components (kDMD),
rbf(gamma=1.4847820971862247),omega=0.8,Reduced Rank,
rbf(gamma=1.491498326974421),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.491498326974421),omega=1.5,Reduced Rank,
rbf(gamma=1.4988010796611853),omega=1.0,Principle Components (kDMD),
rbf(gamma=1.4988010796611853),omega=1.0,Reduced Rank,
rbf(gamma=1.5019988800318427),omega=0.8,Principle Components (kDMD),
rbf(gamma=1.5019988800318427),omega=0.8,Reduced Rank,
rbf(gamma=1.5088485481840654),omega=1.5,Principle Components (kDMD),
rbf(gamma=1.5088485481840654),omega=1.5,Reduced Rank,
rbf(gamma=1.5161847493961829),omega=1.2,Principle Components (kDMD),
rbf(gamma=1.5161847493961829),omega=1.2,Reduced Rank,
rbf(gamma=1.5623630701105855),omega=3.0,Principle Components (kDMD),
rbf(gamma=1.5623630701105855),omega=3.0,Reduced Rank,
rbf(gamma=1.5651642613588048),omega=1.0,Principle Components (kDMD),
rbf(gamma=1.5651642613588048),omega=1.0,Reduced Rank,
rbf(gamma=1.6036112109695864),omega=3.0,Principle Components (kDMD),
rbf(gamma=1.6036112109695864),omega=3.0,Reduced Rank,
rbf(gamma=1.633680636702917),omega=1.2,Principle Components (kDMD),
rbf(gamma=1.633680636702917),omega=1.2,Reduced Rank,
