family,system,kind,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,agg_bias_mean_z,agg_dist_mean_z,agg_spurious_mean_z,agg_trunc_mean_z,agg_bias_std_z,agg_spurious_std_z,mean_spurious_ref_count_z,mean_spurious_residual_count_z,mean_spectral_gap_z,agg_horizon_instab_z,agg_horizon_sens_z,score_vs_analytic,rank_score_vs_analytic
rbf,duffing,omega=0.5,rbf(gamma=1.0497348323996596),PCR,0.262101145225781,11.011571147955465,0.0943835968717407,0.0238023386221725,,,,4.0,0.0004710116188119,3.458187126181844e-05,0.0,-0.3811287162032029,-0.2221280472187132,-0.23231739858180095,-0.4353941152494071,0.0,0.0,0.0,0.15599210606024946,0.10753955661328357,-0.11159569330447826,-0.08980265101338747,-1.0449076795793952,53
rbf,duffing,omega=0.5,rbf(gamma=1.0344914254467348),PCR,0.2601301284801252,10.92457081544942,0.1095921910666375,0.0238114735008401,,,,4.0,0.0003475388743611,1.1620704554515804e-05,0.0,-0.3811534070949493,-0.22283528648602446,-0.12105976989548013,-0.4353874618450484,0.0,0.0,0.0,0.15599210606024946,0.10781606424711133,-0.11172368319692703,-0.08980265101338747,-0.9343683904254875,60
rbf,duffing,omega=0.5,rbf(gamma=1.0182051082140997),PCR,0.274266300850827,11.423641817130486,0.0860255655193818,0.024008657242697,,,,4.0,0.000343822521879,5.595179660811134e-06,0.0,-0.38097632351487143,-0.21877826050235155,-0.2934601141301845,-0.43524384273249517,0.0,0.0,0.0,0.15599210606024946,0.10782438673022991,-0.11175727061401797,-0.08980265101338747,-1.1024922417156957,48
rbf,duffing,omega=0.5,rbf(gamma=1.0561608030839489),PCR,0.2580295729775946,10.972408128020836,0.0995679199424279,0.0235162208666528,,,,4.0,0.0004679151350672,5.5455095957501754e-05,0.0,-0.38117972071640116,-0.22244640951373476,-0.19439177023003745,-0.43560250960153013,0.0,0.0,0.0,0.15599210606024946,0.10754649094844589,-0.11147934199629278,-0.08980265101338747,-1.0073357967361463,56
rbf,duffing,omega=0.5,rbf(gamma=0.9522780610332793),PCR,0.3120193126755701,10.43168775418506,0.083035398858499,0.029910722025819,,,,4.0,5.829396042122959e-05,6.524374777461261e-05,0.0,-0.38050339220664076,-0.22684200973727767,-0.31533451276318525,-0.43094506384534337,0.0,0.0,0.0,0.15599210606024946,0.10846380579611449,-0.11142477819693271,-0.08980265101338747,-1.1291558668817885,43
rbf,duffing,omega=0.5,rbf(gamma=6.94686518776038),PCR,0.1422341679592294,10.608637697354355,0.1400242950113658,0.0134073923548827,,,,5.0,0.0011295784875355,0.0001062338169725,0.0,-0.38263028769729934,-0.2254035560606883,0.10156460139336601,-0.44296529197974194,0.0,0.0,0.0,1.121289792076645,0.10606474719361697,-0.11119629178703104,-0.08980265101338747,0.2453713345185422,90
rbf,duffing,omega=0.5,rbf(gamma=1.059983763386311),PCR,0.2818582463360317,11.588131622077928,0.0965369603345587,0.0243230104324177,,,,4.0,0.0002815554524163,4.735281371570643e-06,0.0,-0.3808812193486925,-0.21744109723204896,-0.21656458740788678,-0.4350148830540205,0.0,0.0,0.0,0.15599210606024946,0.10796382900244231,-0.11176206384996105,-0.08980265101338747,-1.023985039817516,55
rbf,duffing,omega=0.5,rbf(gamma=2.246269483583015),PCR,0.5278929374442032,11.747406319009672,0.0869131410228014,0.0449369778407992,,,,2.0,0.0001138595252964,0.0,0.0,-0.3777991471453922,-0.21614632838790232,-0.2869671046826928,-0.42000066495716143,0.0,0.0,0.0,-1.7746032659725413,0.10833937102361246,-0.1117884592052663,-0.08980265101338747,-3.0129376033739566,10
rbf,duffing,omega=0.5,rbf(gamma=3.47343259388019),PCR,0.0526766451653197,12.60373803300664,0.1387990741059098,0.0041794462109074,,,,5.0,0.0017059542030175,8.717322122053783e-05,0.0,-0.3837521731938377,-0.20918507437268896,0.0926015657037373,-0.44968648219251883,0.0,0.0,0.0,1.121289792076645,0.10477399848634074,-0.1113025391581425,-0.08980265101338747,0.2473926781892366,91
rbf,duffing,omega=0.5,rbf(gamma=1.0645576082910153),PCR,0.2712428171451473,11.674664894437596,0.0988057859983477,0.0232334563430922,,,,4.0,0.0002349414812934,2.787735089415655e-05,0.0,-0.38101419864152297,-0.21673765476948773,-0.19996711889626514,-0.43580846162147313,0.0,0.0,0.0,0.15599210606024946,0.10806821737508146,-0.11163306557095394,-0.08980265101338747,-1.0070327049545635,57
